,Borough,Neighborhood,ID,Name
0,Bronx,Eastchester,515cc20ce4b0deb133b8e89b,Fish & Ting
1,Bronx,Eastchester,4c632fbaeb82d13a3c5007d6,Golden Krust Caribbean Restaurant
2,Bronx,Eastchester,4dbf84a24df0f8fd6b88c9b6,Royal Caribbean Bakery
3,Bronx,Kingsbridge,4bd8e98811dcc928f865f833,El Malecon
4,Bronx,Williamsbridge,4ca7451314c337042fadc73b,The Dumplin Shop
5,Bronx,Fordham,4bab5b5bf964a520fba23ae3,Golden Krust Caribbean Restaurant
6,Bronx,Olinville,4c07e7f97e3fc9280676ef82,Feroza's Roti Shop
7,Bronx,Olinville,4f627f50e4b04d4b13d32f90,Richie Rich
8,Bronx,Concourse,4c6daa9e06ed6dcbbe91a422,Concourse Jamaican Bakery
9,Brooklyn,Flatbush,4bbd184f8ec3d13af9ae1b28,Fisherman's Cove
10,Brooklyn,Crown Heights,57a22aad498e0078cc75ac8d,Jemz
11,Brooklyn,East Flatbush,4e5d9b2db0fbc0acda43d89e,VIVID Caribbean American Bistro
12,Brooklyn,Prospect Heights,5a4d750e3fcee83d3f3ce36c,The Islands
13,Brooklyn,Fort Greene,5ae70ca64c954c002c618bff,Imani Caribbean Kitchen & Bar
14,Brooklyn,Starrett City,4c50b469375c0f47c406bb92,Golden Krust Caribbean Restaurant
15,Brooklyn,Flatlands,4c1321d0b7b9c928c029a937,Blue Mountain Farm
16,Brooklyn,Clinton Hill,4e7007407d8b21fe9d1a809c,Dee and Ricky Homecooking
17,Brooklyn,Clinton Hill,536fd50d498ec249d9620b42,Wray's
18,Brooklyn,Prospect Lefferts Gardens,4bd3475c046076b084a97571,Culpepper's
19,Brooklyn,Prospect Park South,57597fd8498e2922f0ff1b22,Island Express
20,Brooklyn,Prospect Park South,4cb8984bbac937044c4fde7c,Golden Krust Caribbean Restaurant
21,Brooklyn,Prospect Park South,4f21c4c4e5e872143c0d843b,Golden Krust Caribbean Bakery and Grill
22,Brooklyn,South Side,4fc17d82e4b0c9a9f167ba1f,El Gran Canario
23,Brooklyn,South Side,4b818d64f964a52079ae30e3,Cafe El Puente
24,Manhattan,Washington Heights,4afcba6af964a5206d2522e3,La Casa del Mofongo
25,Manhattan,Inwood,4be65857bcef2d7f512005e5,Caridad Restaurant
26,Manhattan,Hamilton Heights,4eb32c34e5fa17fc85cc483f,Wat’s On Your Plate
27,Manhattan,Hamilton Heights,4a7a35faf964a520dee81fe3,One Stop Patty Shop
28,Manhattan,Central Harlem,5645609b498e47952f22cd7d,Jerkyz
29,Manhattan,Greenwich Village,4d9e8aa89b91a1cdc7c958c0,Miss Lily's & Melvin's Juice Box
30,Manhattan,Greenwich Village,40fc6080f964a520150b1fe3,Negril Village
31,Manhattan,East Village,537822d3498edcf629cebd3d,Miss Lily's 7A
32,Queens,Richmond Hill,4b9d2a05f964a520769536e3,Kaieteur Restaurant
33,Queens,College Point,4b8abd9cf964a520b07d32e3,Mangu Grill
34,Queens,Jamaica Center,4bce1e93cc8cd13a37c8c3cf,Jamaican Flavors
35,Queens,Jamaica Center,4c82afb974d7b60cf60983d8,Golden Krust Caribbean Restaurant
36,Queens,South Jamaica,5130c73e72da35b105337efe,Anita's Roti Shop
37,Queens,St. Albans,4ca8f719d971b1f77e0b1ae1,The Smokehouse
38,Queens,St. Albans,4d1e1fec8629224b2f85ff86,Fah Mas
39,Queens,Cambria Heights,4dcde05f183899ddfac4b4fa,Good Taste Catering
40,Queens,Cambria Heights,55b3f118498ed94dd9512c6f,Epi Dor Kreyol Restaurant And Bakery
41,Queens,Cambria Heights,4d5730c2b4deb1f771d61a7a,Jamaican Flavors
42,Queens,Rosedale,52d0cb3511d271f8bcf46c1f,Pa-Nash Eurosoul
43,Queens,Far Rockaway,4ded1ea66365d208a47006cd,Golden Krust Caribbean Restaurant
44,Queens,Laurelton,4fde48afe4b0b4dd29a80328,Henrica's Restaurant And Lounge
45,Queens,Laurelton,4b5b34e8f964a5202ceb28e3,Golden Krust
46,Queens,North Corona,4fe22a8ce4b079e1961d356b,King Empanadas
47,Staten Island,Tompkinsville,4bafbddbf964a520df1c3ce3,Golden Krust Caribbean Bakery and Grill
48,Brooklyn,Rugby,4cbdab3f43ec6dcbf554b831,Linda's Restaurant
49,Brooklyn,Remsen Village,4e9ecdd9722edab8d2cdf221,Brucee's Patties
50,Brooklyn,Remsen Village,4e72a0e5aeb74a608a8735ec,Silver Krust  Restaurant
51,Queens,Jamaica Hills,4c0eeb0415c2ef3bad541b08,Genesis #1
52,Bronx,Claremont Village,4bb794d41261d13a2583e798,Golden Krust Caribbean Restaurant
53,Brooklyn,Broadway Junction,4e42a587aeb79367c7e9f663,Golden Krust Caribbean Restaurant
54,Brooklyn,Erasmus,4b53503bf964a520d29627e3,Exquisite Delight
55,Brooklyn,Erasmus,4d95f915e07ea35d0f03b402,Trini Breakfast Shed II
56,Brooklyn,Erasmus,4b66446af964a520621b2be3,Golden Krust Caribbean Restaurant
